scenario,stage,origin_id,destination_id,destination_physical_id,flow_tons,distance_km,tonne_km
baseline,source_collection,GD01,C02_S,C02,902.1803930131007,125.09932920710672,112862.1619897428
baseline,source_collection,GD02,C02_S,C02,871.4678689956331,0.0,0.0
baseline,source_collection,GD03,C02_S,C02,106.30372375545852,69.62293789389439,7401.1775569159945
baseline,source_collection,GD04,C08_E,C08,119.38725898689955,142.3374058165527,16993.2727317442
baseline,source_collection,GD05,C02_S,C02,42.52526317030569,132.00168158093638,5613.406248152213
baseline,source_collection,GD05,C17_E,C17,188.4789862270742,80.57782241114403,15187.226280437644
baseline,source_collection,GD07,C08_E,C08,37.657393510917025,131.41703557689866,4948.823022757455
baseline,source_collection,GD08,C08_E,C08,46.345198742358086,0.0,0.0
baseline,source_collection,GD09,C09_E,C09,133.24628544978165,0.0,0.0
baseline,source_collection,GD10,C09_E,C09,53.58951534497817,135.3751705679002,7254.689780477524
baseline,source_collection,GD11,C02_S,C02,152.60278831441053,73.7874966555125,11260.177732371449
baseline,source_collection,GD11,C09_E,C09,113.1641992052401,82.90044805737128,9381.362818168023
baseline,source_collection,GD12,C02_S,C02,203.6240342358079,82.31192214368541,16760.68565260095
baseline,source_collection,GD13,C02_S,C02,63.72464827074236,120.66466151382669,7689.313113676788
baseline,source_collection,GD17,C17_E,C17,39.104721205240175,0.0,0.0
baseline,source_collection,GD18,C17_E,C17,43.45054335371179,111.19371737991148,4831.42743767622
baseline,source_collection,GD19,C08_E,C08,30.413076908296944,104.64220370470176,3182.4913891247697
baseline,source_collection,GD20,C08_E,C08,72.41629256768537,103.20676285733128,7473.8511340402265
baseline,source_collection,GD21,C17_E,C17,28.9657492139738,84.3101346674444,2442.106216973553
baseline,collection_echelon,C02_S,P16,P16,1137.0267791650654,0.0,0.0
baseline,collection_recycling,C02_S,P01,P01,1205.4019405903932,164.12761660705732,197839.74756262294
baseline,collection_recycling,C08_E,P01,P01,306.219220716157,215.52013332303915,65996.4072748233
