scenario,cost_item,cost_yuan,share
baseline,fixed_collection,1077468.0855733294,0.01638629701718234
baseline,fixed_processing,1703632.1165228065,0.025909093961237147
baseline,variable_collection,2961406.0406637555,0.045037509343001034
baseline,variable_processing,32904417.96225783,0.5004153469846521
baseline,transport,313684.13738810766,0.004770555632824209
baseline,expansion,0.0,0.0
baseline,emergency,26793605.952838432,0.40748119706110314
split_node_legacy,fixed_collection,1077468.0855733294,0.016375525123535465
split_node_legacy,fixed_processing,1703632.1165228065,0.02589206204705027
split_node_legacy,variable_collection,2961406.0406637555,0.04500790294319916
split_node_legacy,variable_processing,32904417.962257832,0.5000863879226182
split_node_legacy,transport,356937.55356126145,0.0054247916519639
split_node_legacy,expansion,0.0,0.0
split_node_legacy,emergency,26793605.952838432,0.4072133303116331
local_generic,fixed_collection,1701265.398273678,0.01700496958827596
local_generic,fixed_processing,1901504.3356504906,0.019006454508816047
local_generic,variable_collection,7033167.999999999,0.07029991209519451
local_generic,variable_processing,89045621.32899998,0.8900540058037398
local_generic,transport,363630.04735874874,0.0036346580039736654
local_generic,expansion,0.0,0.0
local_generic,emergency,0.0,0.0
local_capture,fixed_collection,1701265.398273678,0.041332089472355775
local_capture,fixed_processing,879866.1095638417,0.021376267806944533
local_capture,variable_collection,2813267.2,0.06834807299204146
local_capture,variable_processing,35618248.5316,0.8653421368885508
local_capture,transport,148238.16442136126,0.0036014328401075594
local_capture,expansion,0.0,0.0
local_capture,emergency,0.0,0.0
local_arcs,fixed_collection,2268353.864364904,0.03457762834919365
local_arcs,fixed_processing,879866.1095638417,0.013412229816297852
local_arcs,variable_collection,2598918.3467772924,0.039616584571087785
local_arcs,variable_processing,32904417.891357277,0.5015781491449353
local_arcs,transport,156614.841235862,0.0023873566903715024
local_arcs,expansion,0.0,0.0
local_arcs,emergency,26793605.952838432,0.4084280514281139
local_ownership,fixed_collection,1077468.0855733294,0.016620829494519002
local_ownership,fixed_processing,879866.1095638417,0.013572656843274189
local_ownership,variable_collection,2961406.040663755,0.04568211859353586
local_ownership,variable_processing,32904417.962257825,0.5075776516165363
local_ownership,transport,209608.43951068848,0.0032333822044163475
local_ownership,expansion,0.0,0.0
local_ownership,emergency,26793605.952838432,0.4133133612477183
demand_low,fixed_collection,510379.6194821034,0.012955390965475452
demand_low,fixed_processing,1703632.1165228065,0.04324471293209098
demand_low,variable_collection,1443008.5512943233,0.0366290879081582
demand_low,variable_processing,12179773.802556042,0.3091693427008055
demand_low,transport,93872.30704950483,0.002382838954054546
demand_low,expansion,0.0,0.0
demand_low,emergency,23464487.39213974,0.5956186265394153
demand_high,fixed_collection,2041518.4779284135,0.017833407266212624
demand_high,fixed_processing,1987176.3495684196,0.017358708987831154
demand_high,variable_collection,7951050.065041048,0.06945531746928202
demand_high,variable_processing,93391748.07280603,0.8158109253930931
