region_id,name,lon,lat,retired_battery_tons,retired_battery_tons_s1,retired_battery_tons_s2,retired_battery_tons_s3,spatial_weight_s1,spatial_weight_s2,spatial_weight_s3,scenario,quality_flag
GD01,广州,113.2589581,23.1288429,2255.450982532751,1614.6222517948781,1999.1194902376023,2255.450982532751,0.1836580331133712,0.22739334424971536,0.25655021834061137,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD02,深圳,114.0545429,22.5445741,2178.6696724890826,1754.7310096871724,2009.094207368319,2178.6696724890826,0.19959494892625032,0.2285279359023779,0.24781659388646288,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD03,珠海,113.5721327,22.273734,265.7593093886463,224.1123038824128,249.10050718615295,265.7593093886463,0.02549204613140625,0.028334373037715348,0.0302292576419214,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD04,汕头,116.6775856,23.3563921,298.46814746724885,290.2496406622773,295.1807447452603,298.46814746724885,0.03301495322304569,0.03357585028485147,0.033949781659388646,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD05,佛山,113.1159558,23.0239788,577.5106234934497,746.0498540705911,644.9263157243065,577.5106234934497,0.08486074600471266,0.07335827220101172,0.06568995633187773,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD06,韶关,113.8155263,24.8309489,77.84665072052401,150.729816844699,106.99991717019404,77.84665072052401,0.017145026746945218,0.012170892794847961,0.008854803493449782,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD07,河源,115.0577538,24.1014769,94.14348377729257,142.67763240352187,113.55714322778432,94.14348377729257,0.016229116938884087,0.012916755945859315,0.010708515283842795,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD08,梅州,116.1171428,24.2918414,115.86299685589519,181.91898492429766,142.28539208325623,115.86299685589519,0.020692693241429486,0.016184500877357826,0.013179039301310045,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD09,惠州,114.4127007,23.1125153,333.11571362445414,401.2427808057463,360.36654049697114,333.11571362445414,0.04564006215187766,0.040990522677344966,0.03789082969432315,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD10,汕尾,115.5099937,23.0123639,133.97378836244542,139.81814323271365,136.31153031055274,133.97378836244542,0.01590385933994054,0.01550499351763561,0.015239082969432315,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD11,东莞,113.7452332,23.0183568,664.4174687991266,746.2975774703582,697.1695122676194,664.4174687991266,0.08488892373625749,0.07930076600105324,0.07557532751091703,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD12,中山,113.3872302,22.5197073,509.06008558951964,282.70584743809025,418.51839032894804,509.06008558951964,0.03215687126348642,0.047605106583997206,0.05790393013100437,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD13,江门,113.0761073,22.5816619,159.31162067685588,298.03977281317026,214.8028815313817,159.31162067685588,0.03390105543483907,0.024433129597516423,0.01812117903930131,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD14,阳江,111.7831393,22.0958223,90.51556687772926,141.37520456867318,110.85942195410686,90.51556687772926,0.016080970005968656,0.012609898919418034,0.01029585152838428,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD15,湛江,110.3548318,21.2737079,269.751937510917,362.70403698203603,306.93277729936466,269.751937510917,0.04125640530492501,0.03491260579009228,0.03068340611353712,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD16,茂名,110.9209511,21.6656961,231.72599371179038,341.75047783674523,275.7357873617724,231.72599371179038,0.03887300605778167,0.03136404958468473,0.02635807860262009,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD17,肇庆,112.4603629,23.0501661,97.76180301310043,234.05370596378356,152.2785641933737,97.76180301310043,0.026622848305490054,0.01732119172394275,0.011120087336244542,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD18,清远,113.0505994,23.6832984,108.62635838427946,208.39425975951048,148.5335189343719,108.62635838427946,0.023704169700995113,0.01689520499830198,0.01235589519650655,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD19,潮州,116.6204223,23.656593,76.03269227074236,133.13183382162896,98.872348891097,76.03269227074236,0.015143313377030548,0.011246408320244535,0.008648471615720525,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD20,揭阳,116.3680354,23.553156,181.04073141921396,273.08392903099354,217.85801046392586,181.04073141921396,0.03106240931892923,0.024780640583466896,0.02059279475982533,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
GD21,云浮,111.8078586,22.8546663,72.4143730349345,123.77093600670004,92.95699822364072,72.4143730349345,0.014078541676433727,0.010573556408564758,0.008236899563318778,BYD_GD_2025_BASE_NEV_PROXY,C/D-退役量估算；B/C-城市权重；B-坐标代理
